Time,Device name,Chip Time(),Acceleration X(g),Acceleration Y(g),Acceleration Z(g)
50:31.7,G:\WIT00021.TXT,40:07.3,0.528,-1.231,0.669
50:31.7,G:\WIT00021.TXT,40:07.4,0.48,-0.972,-0.041
50:31.7,G:\WIT00021.TXT,40:07.5,0.126,-1.242,-0.367
50:31.7,G:\WIT00021.TXT,40:07.5,0.074,-0.816,-0.368
50:31.7,G:\WIT00021.TXT,40:07.6,0.096,-1.446,-0.446
50:31.7,G:\WIT00021.TXT,40:07.7,0.348,-0.747,-0.282
50:31.7,G:\WIT00021.TXT,40:07.7,0.046,-0.849,-0.365
50:31.7,G:\WIT00021.TXT,40:07.8,-0.533,-0.95,-1.372
50:31.7,G:\WIT00021.TXT,40:07.9,-0.118,-0.579,-0.646
50:31.7,G:\WIT00021.TXT,40:07.9,0.529,0.3,-0.478
50:31.7,G:\WIT00021.TXT,40:08.0,0.055,-0.868,-1.344
50:31.7,G:\WIT00021.TXT,40:08.1,0.211,-0.479,-0.444
50:31.7,G:\WIT00021.TXT,40:08.1,0.151,-0.91,-0.813
50:31.7,G:\WIT00021.TXT,40:08.2,0.412,-0.45,-0.684
50:31.7,G:\WIT00021.TXT,40:08.2,-0.148,-0.401,-0.901
50:31.7,G:\WIT00021.TXT,40:08.3,0.026,-0.631,-0.773
50:31.7,G:\WIT00021.TXT,40:08.4,0.895,-0.729,-0.77
50:31.7,G:\WIT00021.TXT,40:08.4,0.529,-0.071,-0.996
50:31.7,G:\WIT00021.TXT,40:08.5,0.102,-0.609,-1.246
50:31.7,G:\WIT00021.TXT,40:08.6,0.288,0.061,-1.019
50:31.7,G:\WIT00021.TXT,40:08.6,0.373,0.092,-0.988
50:31.7,G:\WIT00021.TXT,40:08.7,0.299,0.15,-0.848
50:31.7,G:\WIT00021.TXT,40:08.8,0.396,0.184,-0.788
50:31.7,G:\WIT00021.TXT,40:08.8,0.12,0.346,-1.254
50:31.7,G:\WIT00021.TXT,40:08.9,0.26,0.076,-0.545
50:31.7,G:\WIT00021.TXT,40:09.0,-0.031,0.625,-0.707
50:31.7,G:\WIT00021.TXT,40:09.0,0.285,0.611,-0.788
50:31.7,G:\WIT00021.TXT,40:09.1,0.414,0.66,-0.731
50:31.7,G:\WIT00021.TXT,40:09.2,0.478,0.771,-0.899
50:31.7,G:\WIT00021.TXT,40:09.2,0.566,0.805,-1.027
50:31.7,G:\WIT00021.TXT,40:09.3,0.356,0.347,-1.275
50:31.7,G:\WIT00021.TXT,40:09.4,0.047,-0.074,-0.931
50:31.7,G:\WIT00021.TXT,40:09.4,0.12,-0.122,-1.019
50:31.7,G:\WIT00021.TXT,40:09.5,0.246,0.188,-0.552
50:31.7,G:\WIT00021.TXT,40:09.5,0.557,0.521,-0.213
50:31.7,G:\WIT00021.TXT,40:09.6,0.715,0.581,-0.391
50:31.7,G:\WIT00021.TXT,40:09.7,0.681,0.439,-0.905
50:31.7,G:\WIT00021.TXT,40:09.7,0.705,0.499,-0.669
50:31.7,G:\WIT00021.TXT,40:09.8,0.788,0.533,-0.333
50:31.7,G:\WIT00021.TXT,40:09.9,0.861,0.671,-0.437
50:31.7,G:\WIT00021.TXT,40:09.9,0.776,0.534,-0.744
50:31.7,G:\WIT00021.TXT,40:10.0,0.802,0.482,-0.203
50:31.7,G:\WIT00021.TXT,40:10.1,0.732,0.553,-0.369
50:31.7,G:\WIT00021.TXT,40:10.1,0.688,0.55,-0.549
50:31.7,G:\WIT00021.TXT,40:10.2,0.632,0.556,-0.25
50:31.7,G:\WIT00021.TXT,40:10.3,0.538,0.615,-0.216
50:31.7,G:\WIT00021.TXT,40:10.3,0.617,0.302,-0.764
50:31.7,G:\WIT00021.TXT,40:10.4,0.472,0.135,-0.956
50:31.7,G:\WIT00021.TXT,40:10.5,0.389,0.293,-0.876
50:31.7,G:\WIT00021.TXT,40:10.5,0.167,0.54,-0.865
50:31.7,G:\WIT00021.TXT,40:10.6,0.271,0.208,-1.335
50:31.7,G:\WIT00021.TXT,40:10.7,0.357,0.024,-1.389
50:31.7,G:\WIT00021.TXT,40:10.7,0.529,-0.125,-1.315
50:31.7,G:\WIT00021.TXT,40:10.8,0.559,-0.075,-0.215
50:31.7,G:\WIT00021.TXT,40:10.8,0.296,0.164,-0.433
50:31.7,G:\WIT00021.TXT,40:10.9,0.368,0.279,-1.055
50:31.7,G:\WIT00021.TXT,40:11.0,0.198,0.466,-0.65
